image,k,space,vifp,psnr,ssim,dE00,lpips_alex,lpips_vgg
cruise_ship,64,xyz,0.478743,29.543561,0.899345,4.267802,0.104780,0.260452
cruise_ship,256,luv,0.569897,33.875248,0.937140,1.833688,0.070925,0.207607
cruise_ship,256,rgb,0.665442,36.947194,0.960170,2.166281,0.039360,0.168084
cruise_ship,256,xyz,0.632959,34.059699,0.953730,2.861055,0.037606,0.144921
curler,4,luv,0.174594,18.420677,0.677201,11.335546,0.390415,0.540184
curler,4,rgb,0.235765,19.473102,0.730058,11.291084,0.412422,0.553086
curler,4,xyz,0.222258,18.219113,0.694847,12.378519,0.437979,0.566408
curler,16,luv,0.305022,24.322519,0.774387,5.134831,0.265824,0.419411
curler,16,rgb,0.377235,26.547645,0.823672,5.336447,0.220383,0.402299
curler,16,xyz,0.371293,23.226780,0.800670,7.574346,0.255592,0.440254
curler,64,luv,0.444749,29.267099,0.856447,2.892226,0.165412,0.337784
curler,64,rgb,0.542805,32.145509,0.903464,2.945536,0.084902,0.290128
curler,64,xyz,0.524259,28.587011,0.883429,4.043778,0.102207,0.272938
curler,256,luv,0.596256,33.924020,0.922096,1.676401,0.079375,0.220740
curler,256,rgb,0.697363,37.394757,0.956061,1.826701,0.025669,0.142148
curler,256,xyz,0.663013,33.360954,0.938754,2.475306,0.036258,0.125930
daisy_bouquet,4,luv,0.123917,15.921508,0.372171,13.608947,0.391580,0.528219
daisy_bouquet,4,rgb,0.147529,16.644391,0.411984,13.534523,0.377831,0.522594
daisy_bouquet,4,xyz,0.174309,13.016522,0.416109,19.943024,0.428969,0.591089
daisy_bouquet,16,luv,0.260693,20.947692,0.584199,7.011737,0.198794,0.366344
daisy_bouquet,16,rgb,0.334335,23.382536,0.707618,6.936652,0.144314,0.334585
daisy_bouquet,16,xyz,0.301539,19.186800,0.581060,9.335739,0.193917,0.349433
daisy_bouquet,64,luv,0.400172,25.740656,0.741984,3.693571,0.092011,0.218373
daisy_bouquet,64,rgb,0.480818,28.546269,0.853491,3.770314,0.051961,0.165042
daisy_bouquet,64,xyz,0.436548,23.754529,0.728329,5.707327,0.080090,0.165008
daisy_bouquet,256,luv,0.539800,29.562928,0.843609,1.990377,0.040809,0.107251
daisy_bouquet,256,rgb,0.623176,33.359156,0.933690,2.155650,0.014727,0.064880
daisy_bouquet,256,xyz,0.555338,28.437372,0.825068,3.145585,0.027903,0.073934
daisy_poster,4,luv,0.289390,20.568516,0.471017,5.713679,0.158745,0.331166
daisy_poster,4,rgb,0.336340,21.971101,0.647104,5.807356,0.130897,0.309115
daisy_poster,4,xyz,0.341978,18.827618,0.376959,9.579900,0.135294,0.345109
daisy_poster,16,luv,0.431839,26.546093,0.796478,2.651087,0.043906,0.176225
daisy_poster,16,rgb,0.520888,28.490390,0.894996,3.135376,0.026771,0.119109
daisy_poster,16,xyz,0.483740,26.380164,0.694246,3.477297,0.035439,0.112808
daisy_poster,64,luv,0.583173,31.350732,0.924157,1.363706,0.013559,0.069153
daisy_poster,64,rgb,0.670907,34.391565,0.959229,1.546913,0.006461,0.039779
daisy_poster,64,xyz,0.589726,30.500581,0.863602,2.151196,0.013051,0.048958
daisy_poster,256,luv,0.707927,35.961484,0.957225,0.765824,0.003965,0.026355
daisy_poster,256,rgb,0.793709,39.290427,0.982983,0.857329,0.001495,0.010953
daisy_poster,256,xyz,0.717665,34.827682,0.945154,1.275056,0.004384,0.014583
easter_egg_basket,4,luv,0.076266,16.172879,0.478136,13.149310,0.511985,0.594874
easter_egg_basket,4,rgb,0.155866,18.377365,0.612034,13.446289,0.503737,0.608275
