image,k,method,mse_ours,mse_gold,ratio,log_ratio
kingfisher,256,MC,41.7333730061849,200.253,0.208403234938727,-0.6810955439851116
kingfisher,256,OCT,42.02534484863281,68.7186,0.6115570580400768,-0.21356301722796442
korean_dancer,256,MC,36.49888017442491,152.747,0.23894989868491628,-0.6216931492846023
korean_dancer,256,OCT,50.491302490234375,77.8414,0.6486432989416221,-0.18799406419869844
lights,256,MC,139.6616007486979,413.411,0.3378274906780369,-0.47130501265727615
lights,256,OCT,200.38723839653863,299.221,0.6696964397436631,-0.1741220098644644
macarons,256,MC,70.21169111463759,262.14,0.26784043303058513,-0.5721238615413681
macarons,256,OCT,119.58092074924045,152.451,0.7843892184980121,-0.10546838438084645
macaws,256,MC,29.7212888929579,112.282,0.2647021685840821,-0.5772425007075581
macaws,256,OCT,36.213161044650604,63.7745,0.567831359628858,-0.24578062636161696
malayan_banded_pitta,256,MC,38.344678243001304,170.488,0.22491130310051913,-0.6479887181933938
malayan_banded_pitta,256,OCT,38.77927737765842,69.8742,0.5549870678685183,-0.2557171365507949
mandarin_ducks,256,MC,18.33733622233073,78.7647,0.23281160497444578,-0.6329953751787284
mandarin_ducks,256,OCT,18.930720859103733,31.9432,0.5926369574464591,-0.2272112689636426
mandarinfish,256,MC,84.95974222819011,278.421,0.30514847022383407,-0.5154888029153604
mandarinfish,256,OCT,94.79279666476779,138.479,0.6845283159523666,-0.16460858228892042
mangoes,256,MC,21.899449666341145,74.7451,0.2929884322362422,-0.5331495261139512
mangoes,256,OCT,21.359969245062935,35.2677,0.6056524594760343,-0.21777651482527016
marrakech_museum,256,MC,53.499086168077255,205.266,0.2606329648752217,-0.5839706555536198
marrakech_museum,256,OCT,85.00714874267578,115.276,0.7374227830829989,-0.13228344875542908
maya_beach,256,MC,42.792209201388886,149.517,0.2862029682336382,-0.5433258664504372
maya_beach,256,OCT,48.56024678548177,83.3173,0.5828350988988094,-0.23445430247671695
medicine_packets,256,MC,68.52816433376736,213.514,0.3209539624276036,-0.4935572582416741
medicine_packets,256,OCT,87.44305843777127,142.446,0.6138681215181281,-0.21192491916611414
moroccan_babouches,256,MC,40.52490743001302,165.464,0.24491676394873219,-0.6109814874712116
moroccan_babouches,256,OCT,74.07283104790582,99.9549,0.7410625296799439,-0.13014514539554356
motocross,256,MC,38.32627868652344,114.267,0.33540986187196165,-0.47442417222006766
motocross,256,OCT,30.197893778483074,54.1715,0.5574498357712648,-0.2537942081505624
motorcycle,256,MC,41.07838863796658,163.781,0.25081290649078086,-0.6006501190633867
motorcycle,256,OCT,69.14522722032335,95.3494,0.7251773710198842,-0.13955575641675005
mural,256,MC,30.419429355197483,118.96,0.25571141018155247,-0.5922498927467332
mural,256,OCT,35.7193603515625,59.8447,0.5968675647394422,-0.2241220211040013
nylon_cords,256,MC,51.18931664360894,206.027,0.24845926331795806,-0.6047448067957784
nylon_cords,256,OCT,78.32997216118707,109.779,0.7135241909762985,-0.14659129819135105
paper_clips,256,MC,31.06453535291884,78.8051,0.3941944792014583,-0.40428946242372976
paper_clips,256,OCT,23.637658013237846,36.6457,0.6450322415245949,-0.19041857688990202
peacock,256,MC,45.922023349338104,207.474,0.22133868990494282,-0.6549426649540145
peacock,256,OCT,61.09790971544054,102.898,0.5937715962938107,-0.22638058118911805
pencils,256,MC,24.371509975857204,65.1732,0.3739498747315953,-0.4271866079235939
pencils,256,OCT,19.40854814317491,33.5197,0.5790191482374517,-0.23730707386089409
pigments,256,MC,59.90827094184028,234.319,0.25566971070139544,-0.5923207199768794
pigments,256,OCT,129.60235595703125,157.558,0.8225691869472274,-0.08482756298807295
pink_mosque,256,MC,70.40791575113933,291.368,0.2416460138077597,-0.61682036458706
pink_mosque,256,OCT,83.41482374403212,137.196,0.6079974907725598,-0.21609821307246213
plushies,256,MC,73.75936041937933,303.677,0.24288754307826846,-0.6145947581923877
