image,k,space,vifp,psnr,ssim,dE00
floating_market,4,luv,0.181512,17.425964,0.630384,12.279519
floating_market,4,rgb,0.291054,20.484756,0.800662,11.005894
floating_market,4,xyz,0.238696,19.050370,0.710601,12.283808
floating_market,16,luv,0.336301,21.978875,0.832412,7.398391
floating_market,16,rgb,0.438819,24.909614,0.905842,8.250106
floating_market,16,xyz,0.381725,22.953846,0.869840,9.008200
floating_market,64,luv,0.466500,25.971477,0.915023,4.714003
floating_market,64,rgb,0.570194,29.188823,0.955731,5.290162
floating_market,64,xyz,0.496420,25.874321,0.930924,7.009442
floating_market,256,luv,0.585886,29.645928,0.957827,3.053177
floating_market,256,rgb,0.683520,33.231625,0.979938,3.545446
floating_market,256,xyz,0.618673,29.404962,0.966152,5.120223
fruit_dessert,4,luv,0.116434,16.461637,0.364191,12.419519
fruit_dessert,4,rgb,0.128289,18.899720,0.426511,13.681677
fruit_dessert,4,xyz,0.135235,17.118568,0.412259,16.056643
fruit_dessert,16,luv,0.236459,23.183673,0.578150,5.873145
fruit_dessert,16,rgb,0.306001,25.433821,0.698831,6.048786
fruit_dessert,16,xyz,0.235296,21.763998,0.560949,9.189223
fruit_dessert,64,luv,0.372992,27.089766,0.732662,3.481955
fruit_dessert,64,rgb,0.474096,30.348213,0.859953,3.554715
fruit_dessert,64,xyz,0.370965,26.494139,0.723174,5.385104
fruit_dessert,256,luv,0.508302,30.683121,0.847682,2.129961
fruit_dessert,256,rgb,0.621434,34.640917,0.937310,2.229646
fruit_dessert,256,xyz,0.499124,30.470194,0.829144,3.376690
fruit_stand,4,luv,0.118978,16.438223,0.456094,14.799655
fruit_stand,4,rgb,0.237771,19.171724,0.706843,14.916090
fruit_stand,4,xyz,0.194976,17.737179,0.607424,16.331947
fruit_stand,16,luv,0.247230,20.677578,0.702219,8.653312
fruit_stand,16,rgb,0.375483,23.850681,0.850367,9.737998
fruit_stand,16,xyz,0.330698,21.869786,0.804463,12.136022
