image,method,n_colors,psnr,ssim,time_ms,png_bytes
kodim18.png,pw_lab,128,32.614,0.9392,8706.3,210689
kodim18.png,pw_lab_now,128,32.529,0.938,7458.7,211046
kodim18.png,pw_rgb_w,128,34.683,0.9678,7420.9,240229
kodim18.png,pw_lab,256,34.418,0.9592,16000.7,276193
kodim18.png,pw_lab_now,256,34.339,0.9589,14659.7,275961
kodim18.png,pw_rgb_w,256,36.613,0.9782,15956.8,299652
kodim19.png,pw_lab,16,29.281,0.8364,1062.9,70269
kodim19.png,pw_lab_now,16,29.278,0.8368,1032.0,70008
kodim19.png,pw_rgb_w,16,30.566,0.8971,993.0,89586
kodim19.png,pw_lab,32,31.991,0.9028,1988.8,93134
kodim19.png,pw_lab_now,32,31.957,0.9041,1941.5,95003
kodim19.png,pw_rgb_w,32,33.685,0.9387,1775.1,112842
kodim19.png,pw_lab,64,34.286,0.9374,3925.2,135894
kodim19.png,pw_lab_now,64,34.27,0.938,3959.2,135863
kodim19.png,pw_rgb_w,64,36.194,0.9624,4284.1,153299
kodim19.png,pw_lab,128,35.914,0.9565,7765.2,181154
kodim19.png,pw_lab_now,128,35.921,0.9565,7657.0,181716
kodim19.png,pw_rgb_w,128,38.15,0.976,7437.5,200894
kodim19.png,pw_lab,256,37.835,0.9719,15828.4,235765
kodim19.png,pw_lab_now,256,37.937,0.9721,14780.6,234386
kodim19.png,pw_rgb_w,256,40.205,0.9842,16135.2,256093
kodim20.png,pw_lab,16,29.112,0.8614,1086.9,64289
kodim20.png,pw_lab_now,16,29.126,0.8622,1094.4,64503
kodim20.png,pw_rgb_w,16,30.401,0.9069,1049.1,70153
kodim20.png,pw_lab,32,32.166,0.9221,2027.2,93135
kodim20.png,pw_lab_now,32,32.337,0.9219,1919.1,92461
kodim20.png,pw_rgb_w,32,33.294,0.9435,1868.1,101232
kodim20.png,pw_lab,64,34.278,0.9424,4045.1,131137
kodim20.png,pw_lab_now,64,34.353,0.9435,4549.7,130945
kodim20.png,pw_rgb_w,64,35.635,0.9617,3914.7,140481
kodim20.png,pw_lab,128,36.484,0.9618,7617.5,170298
kodim20.png,pw_lab_now,128,36.557,0.962,7731.2,171369
kodim20.png,pw_rgb_w,128,38.022,0.9761,8022.6,176707
kodim20.png,pw_lab,256,38.75,0.9765,14989.4,210592
kodim20.png,pw_lab_now,256,38.89,0.9766,15394.5,209941
kodim20.png,pw_rgb_w,256,40.794,0.9856,14807.7,215854
kodim21.png,pw_lab,16,28.975,0.8615,1096.1,80538
kodim21.png,pw_lab_now,16,28.995,0.8615,1115.3,80497
kodim21.png,pw_rgb_w,16,30.235,0.8914,1049.0,92697
kodim21.png,pw_lab,32,31.547,0.904,1989.0,97018
kodim21.png,pw_lab_now,32,31.698,0.9071,1943.2,98790
kodim21.png,pw_rgb_w,32,33.275,0.932,1969.4,109872
kodim21.png,pw_lab,64,33.642,0.9324,4696.4,131792
kodim21.png,pw_lab_now,64,33.688,0.9327,4252.0,131537
kodim21.png,pw_rgb_w,64,35.394,0.9566,3800.3,148530
kodim21.png,pw_lab,128,35.918,0.9566,7500.1,174209
kodim21.png,pw_lab_now,128,35.933,0.957,7439.1,174732
kodim21.png,pw_rgb_w,128,37.824,0.9734,8843.1,192230
kodim21.png,pw_lab,256,37.983,0.972,14782.5,222762
