image,k,space,vif
mangoes,256,luv,0.534254
mangoes,256,rgb,0.631408
mangoes,256,xyz,0.592057
marrakech_museum,4,luv,0.219939
marrakech_museum,4,rgb,0.295690
marrakech_museum,4,xyz,0.294283
marrakech_museum,16,luv,0.407972
marrakech_museum,16,rgb,0.472808
marrakech_museum,16,xyz,0.417048
marrakech_museum,64,luv,0.536627
marrakech_museum,64,rgb,0.620187
marrakech_museum,64,xyz,0.526128
marrakech_museum,256,luv,0.640890
marrakech_museum,256,rgb,0.733783
marrakech_museum,256,xyz,0.638785
maya_beach,4,luv,0.149609
maya_beach,4,rgb,0.203316
maya_beach,4,xyz,0.172854
maya_beach,16,luv,0.274908
maya_beach,16,rgb,0.352832
maya_beach,16,xyz,0.344824
maya_beach,64,luv,0.405923
maya_beach,64,rgb,0.502572
maya_beach,64,xyz,0.472663
maya_beach,256,luv,0.553772
maya_beach,256,rgb,0.659049
maya_beach,256,xyz,0.611144
medicine_packets,4,luv,0.100466
medicine_packets,4,rgb,0.224774
medicine_packets,4,xyz,0.214378
medicine_packets,16,luv,0.339907
medicine_packets,16,rgb,0.428760
medicine_packets,16,xyz,0.370068
medicine_packets,64,luv,0.485821
medicine_packets,64,rgb,0.570592
medicine_packets,64,xyz,0.507325
medicine_packets,256,luv,0.604210
medicine_packets,256,rgb,0.698182
medicine_packets,256,xyz,0.618826
moroccan_babouches,4,luv,0.134015
moroccan_babouches,4,rgb,0.199212
moroccan_babouches,4,xyz,0.211188
moroccan_babouches,16,luv,0.254176
moroccan_babouches,16,rgb,0.359004
moroccan_babouches,16,xyz,0.340295
moroccan_babouches,64,luv,0.387950
moroccan_babouches,64,rgb,0.508942
moroccan_babouches,64,xyz,0.470430
moroccan_babouches,256,luv,0.530140
moroccan_babouches,256,rgb,0.646432
moroccan_babouches,256,xyz,0.596378
motocross,4,luv,0.217429
motocross,4,rgb,0.297991
motocross,4,xyz,0.232093
motocross,16,luv,0.361417
motocross,16,rgb,0.482023
motocross,16,xyz,0.457725
motocross,64,luv,0.531821
motocross,64,rgb,0.630882
motocross,64,xyz,0.579891
motocross,256,luv,0.663550
motocross,256,rgb,0.759204
motocross,256,xyz,0.704203
motorcycle,4,luv,0.125980
motorcycle,4,rgb,0.190254
motorcycle,4,xyz,0.185174
motorcycle,16,luv,0.271209
motorcycle,16,rgb,0.363406
motorcycle,16,xyz,0.336514
motorcycle,64,luv,0.427916
motorcycle,64,rgb,0.540990
motorcycle,64,xyz,0.487135
motorcycle,256,luv,0.574758
motorcycle,256,rgb,0.677837
motorcycle,256,xyz,0.630205
mural,4,luv,0.186906
mural,4,rgb,0.304879
mural,4,xyz,0.273940
mural,16,luv,0.392281
mural,16,rgb,0.481327
mural,16,xyz,0.447934
mural,64,luv,0.556246
mural,64,rgb,0.646156
mural,64,xyz,0.591804
mural,256,luv,0.681122
mural,256,rgb,0.774948
mural,256,xyz,0.732522
nylon_cords,4,luv,0.125007
nylon_cords,4,rgb,0.165985
nylon_cords,4,xyz,0.161227
nylon_cords,16,luv,0.265876
nylon_cords,16,rgb,0.331018
nylon_cords,16,xyz,0.291951
nylon_cords,64,luv,0.437190
nylon_cords,64,rgb,0.513549
nylon_cords,64,xyz,0.459927
nylon_cords,256,luv,0.570617
nylon_cords,256,rgb,0.643736
nylon_cords,256,xyz,0.584226
paper_clips,4,luv,0.184206
paper_clips,4,rgb,0.200675
paper_clips,4,xyz,0.220089
paper_clips,16,luv,0.331274
paper_clips,16,rgb,0.405631
paper_clips,16,xyz,0.404315
paper_clips,64,luv,0.518995
paper_clips,64,rgb,0.616470
paper_clips,64,xyz,0.568404
paper_clips,256,luv,0.660396
paper_clips,256,rgb,0.755217
paper_clips,256,xyz,0.695476
peacock,4,luv,0.140050
peacock,4,rgb,0.266419
peacock,4,xyz,0.194596
peacock,16,luv,0.300630
peacock,16,rgb,0.421200
peacock,16,xyz,0.378947
peacock,64,luv,0.429710
peacock,64,rgb,0.541672
peacock,64,xyz,0.506553
peacock,256,luv,0.552961
peacock,256,rgb,0.655489
peacock,256,xyz,0.600379
pencils,4,luv,0.074772
pencils,4,rgb,0.118936
pencils,4,xyz,0.149557
pencils,16,luv,0.221594
pencils,16,rgb,0.289937
pencils,16,xyz,0.279508
pencils,64,luv,0.449839
pencils,64,rgb,0.515268
pencils,64,xyz,0.460958
pencils,256,luv,0.643291
pencils,256,rgb,0.717454
pencils,256,xyz,0.633447
pigments,4,luv,0.045947
pigments,4,rgb,0.138012
pigments,4,xyz,0.139716
pigments,16,luv,0.162113
pigments,16,rgb,0.270510
pigments,16,xyz,0.285580
pigments,64,luv,0.308793
pigments,64,rgb,0.415658
pigments,64,xyz,0.399152
pigments,256,luv,0.445795
pigments,256,rgb,0.560747
pigments,256,xyz,0.509655
pink_mosque,4,luv,0.121563
pink_mosque,4,rgb,0.169346
pink_mosque,4,xyz,0.132650
pink_mosque,16,luv,0.248886
